source,target,value,color
Non-Sexual,Murder,15,#ac5430
Sexual,Rape,270,#ebb783
Sexual,Outrage Of Modesty,1954,#ebb783
Non-Violent,Robbery,295,#499092
Non-Violent,Snatch Theft,177,#499092
Non-Sexual,Rioting,314,#ac5430
Non-Sexual,Serious Hurt,576,#ac5430
Non-Violent,Cheating & Related,4255,#499092
Violent,Sexual,2224,#b77745
Violent,Non-Sexual,905,#b77745
