source,target,value,color
Non-Sexual,Murder,11,#ac5430
Sexual,Rape,286,#ebb783
Sexual,Outrage Of Modesty,2226,#ebb783
Non-Violent,Robbery,83,#499092
Non-Violent,Snatch Theft,59,#499092
Non-Sexual,Rioting,195,#ac5430
Non-Sexual,Serious Hurt,502,#ac5430
Non-Violent,Cheating & Related,7176,#499092
Violent,Sexual,2512,#b77745
Violent,Non-Sexual,708,#b77745
