source,target,value,color
Non-Sexual,Murder,18,#ac5430
Sexual,Rape,244,#ebb783
Sexual,Outrage Of Modesty,1747,#ebb783
Non-Violent,Robbery,116,#499092
Non-Violent,Snatch Theft,70,#499092
Non-Sexual,Rioting,253,#ac5430
Non-Sexual,Serious Hurt,583,#ac5430
Non-Violent,Cheating & Related,7152,#499092
Violent,Sexual,1991,#b77745
Violent,Non-Sexual,854,#b77745
