source,target,value,color
Non-Sexual,Murder,16,#ac5430
Sexual,Rape,246,#ebb783
Sexual,Outrage Of Modesty,2016,#ebb783
Non-Violent,Robbery,538,#499092
Non-Violent,Snatch Theft,400,#499092
Non-Sexual,Rioting,369,#ac5430
Non-Sexual,Serious Hurt,488,#ac5430
Non-Violent,Cheating & Related,2448,#499092
Violent,Sexual,2262,#b77745
Violent,Non-Sexual,873,#b77745
