source,target,value,color
Non-Sexual,Murder,9,#ac5430
Sexual,Rape,329,#ebb783
Sexual,Outrage Of Modesty,2442,#ebb783
Non-Violent,Robbery,86,#499092
Non-Violent,Snatch Theft,54,#499092
Non-Sexual,Rioting,210,#ac5430
Non-Sexual,Serious Hurt,494,#ac5430
Non-Violent,Cheating & Related,8067,#499092
Violent,Sexual,2771,#b77745
Violent,Non-Sexual,713,#b77745
